n,p,k,temperature,humidity,ph,rainfall,label,label_enc
0.160001296,0.878571429,0.955,0.384975018,0.89155503,0.313624968,0.266348679,apple,7
0.046667045,0.992857143,0.96,0.415344411,0.934166423,0.408760488,0.275519763,apple,7
0.093334089,0.878571429,1,0.381025028,0.936975755,0.423233906,0.280558042,apple,7
0.053333765,0.821428571,0.98,0.341730927,0.896680927,0.437986261,0.296251697,apple,7
0.133334413,0.885714286,0.98,0.403209124,0.903268442,0.323957079,0.280654668,apple,7
0.213335061,0.942857143,0.995,0.387993353,0.919941651,0.360696316,0.28484024,apple,7
0.180001458,0.957142857,1,0.377597504,0.923202813,0.352614044,0.253972411,apple,7
0,0.842857143,1,0.364983334,0.917990223,0.355539723,0.293468531,apple,7
0.146667854,0.992857143,0.955,0.361780808,0.90313253,0.465679147,0.283184272,apple,7
0.006666721,0.85,0.97,0.411506881,0.921636716,0.334931284,0.272013988,apple,7
0.20000162,0.835714286,0.96,0.347016058,0.915180878,0.32167655,0.255478362,apple,7
0.193334899,0.828571429,0.955,0.387674376,0.933853271,0.400405814,0.299709002,apple,7
0.086667369,0.864285714,0.995,0.39488714,0.916065829,0.447632422,0.260652659,apple,7
0.060000486,0.957142857,0.97,0.398837232,0.936419115,0.367425247,0.253487128,apple,7
0,0.914285714,0.975,0.410464249,0.889206678,0.342698357,0.250633946,apple,7
0.20000162,0.985714286,0.97,0.413116542,0.890426092,0.356683947,0.245655113,apple,7
0.240001944,0.964285714,0.965,0.401368376,0.900675712,0.431879529,0.2511331,apple,7
0.246668664,0.942857143,0.97,0.381894616,0.885602042,0.34106964,0.261049952,apple,7
0.220001782,0.828571429,0.99,0.376849324,0.939003506,0.326760683,0.277520276,apple,7
0.046667045,0.992857143,0.95,0.390863509,0.925214464,0.365723945,0.251691807,apple,7
0.233335223,0.878571429,1,0.338580959,0.925041837,0.394427377,0.259866944,apple,7
0.193334899,0.878571429,0.965,0.376400984,0.915034073,0.33906615,0.294387842,apple,7
0.013333441,0.985714286,0.955,0.383919642,0.888729157,0.336644296,0.264963879,apple,7
0.226668502,0.964285714,0.965,0.356037553,0.923574548,0.349430292,0.278375104,apple,7
0.193334899,0.992857143,0.995,0.376193501,0.912454313,0.357010236,0.288318791,apple,7
0.213335061,0.971428571,0.99,0.343741788,0.916623999,0.36026027,0.262887631,apple,7
0.086667369,0.992857143,0.96,0.389693695,0.940558083,0.431621196,0.254344356,apple,7
0.166668016,0.985714286,0.965,0.386667983,0.901162915,0.39229072,0.259820128,apple,7
0.060000486,0.942857143,0.975,0.3399297,0.891473209,0.331543216,0.247015437,apple,7
0.040000324,0.992857143,0.965,0.339743533,0.887127342,0.319518377,0.251340526,apple,7
0.246668664,0.864285714,0.955,0.40844873,0.894833589,0.325285707,0.258091032,apple,7
0.013333441,0.821428571,0.99,0.395359886,0.938410735,0.371479778,0.261760931,apple,7
0.073333927,0.985714286,0.96,0.391435898,0.922179375,0.368715618,0.296155223,apple,7
0.066667207,0.971428571,0.98,0.36771585,0.894859321,0.448074257,0.251423042,apple,7
0.160001296,0.978571429,0.985,0.379083937,0.900728326,0.343071765,0.244597552,apple,7
0.153334575,0.95,0.95,0.377788831,0.903312701,0.356316146,0.301720163,apple,7
